date,OPU_index
6/1/2004,218.6542746
7/1/2004,105.7943022
8/1/2004,343.8080652
9/1/2004,200.3197205
10/1/2004,300.8111757
11/1/2004,242.9682421
12/1/2004,163.9346444
1/1/2005,104.6638815
2/1/2005,126.6007517
3/1/2005,161.3871275
4/1/2005,213.7168879
5/1/2005,133.5141418
6/1/2005,164.1735997
7/1/2005,174.6210429
8/1/2005,269.7699877
9/1/2005,349.4988938
10/1/2005,167.6514809
11/1/2005,205.9880222
12/1/2005,131.3002012
1/1/2006,136.6577148
2/1/2006,119.9977308
3/1/2006,80.32809052
4/1/2006,198.2923054
5/1/2006,161.3901966
6/1/2006,118.7178784
7/1/2006,108.3526415
8/1/2006,261.8485634
9/1/2006,162.66834
10/1/2006,184.8113028
11/1/2006,159.2080661
12/1/2006,179.9727642
1/1/2007,167.6932902
2/1/2007,143.9178863
3/1/2007,134.529083
4/1/2007,54.54014666
5/1/2007,104.0638284
6/1/2007,112.5117731
7/1/2007,104.4971607
8/1/2007,73.12212721
9/1/2007,125.9319065
10/1/2007,127.4516674
11/1/2007,138.9467751
12/1/2007,116.8602754
1/1/2008,142.1109234
2/1/2008,65.16988582
3/1/2008,142.2051116
4/1/2008,161.2418415
5/1/2008,202.4469935
6/1/2008,367.7315075
7/1/2008,360.3197083
8/1/2008,272.5148507
9/1/2008,277.2179635
10/1/2008,227.7341525
11/1/2008,270.2787701
12/1/2008,255.7171621
1/1/2009,223.7500896
2/1/2009,127.1123556
3/1/2009,125.2054919
4/1/2009,104.8763052
5/1/2009,88.31690785
6/1/2009,138.3431448
7/1/2009,169.3165302
8/1/2009,125.5873348
9/1/2009,70.97968298
10/1/2009,43.67172578
11/1/2009,55.05179636
12/1/2009,79.2668012
1/1/2010,183.4280776
2/1/2010,66.00163338
3/1/2010,76.11002968
4/1/2010,77.47362723
5/1/2010,78.2613636
6/1/2010,110.3359517
7/1/2010,77.48692076
8/1/2010,53.45426842
9/1/2010,102.9925248
10/1/2010,25.20957845
11/1/2010,62.25618128
12/1/2010,69.5525512
1/1/2011,121.3109036
2/1/2011,142.8017949
3/1/2011,293.7959659
4/1/2011,163.3792319
5/1/2011,292.3871616
6/1/2011,91.10660675
7/1/2011,140.9955555
8/1/2011,135.7265134
9/1/2011,110.0959552
10/1/2011,109.1892095
11/1/2011,117.8206864
12/1/2011,90.87564512
1/1/2012,63.55673275
2/1/2012,123.912604
3/1/2012,207.6834568
4/1/2012,188.6440841
5/1/2012,190.5302773
6/1/2012,117.5107662
7/1/2012,56.26667023
8/1/2012,83.91448365
9/1/2012,64.19338789
10/1/2012,64.69323323
11/1/2012,69.60252193
12/1/2012,55.70582727
1/1/2013,55.21797172
2/1/2013,65.59718871
3/1/2013,158.9079155
4/1/2013,103.6872056
5/1/2013,68.29009826
6/1/2013,75.16337702
7/1/2013,107.8862896
8/1/2013,24.72759102
9/1/2013,49.89255287
10/1/2013,78.16861002
11/1/2013,43.08389525
12/1/2013,54.87104561
1/1/2014,37.95728571
2/1/2014,49.67872622
3/1/2014,98.93237778
4/1/2014,27.91156533
5/1/2014,36.04846542
6/1/2014,89.2121985
7/1/2014,66.56760182
8/1/2014,65.12817227
9/1/2014,53.59971745
10/1/2014,119.508804
11/1/2014,120.5871502
12/1/2014,364.2255105
1/1/2015,328.9783479
2/1/2015,196.0689757
3/1/2015,143.0109998
4/1/2015,118.3116012
5/1/2015,130.9937204
6/1/2015,45.10610872
7/1/2015,121.1797461
8/1/2015,165.561718
9/1/2015,173.114027
10/1/2015,110.917509
11/1/2015,100.9865436
12/1/2015,95.8203837
1/1/2016,302.4492682
2/1/2016,203.323606
3/1/2016,129.1806562
4/1/2016,153.448778
5/1/2016,168.9365958
6/1/2016,117.2628023
7/1/2016,40.70039201
8/1/2016,79.00552189
9/1/2016,23.66228972
10/1/2016,94.39991584
11/1/2016,116.9921986
12/1/2016,79.0755237
1/1/2017,61.78568878
2/1/2017,55.84616277
3/1/2017,120.6312068
4/1/2017,51.16961609
5/1/2017,76.73484948
6/1/2017,65.58099453
7/1/2017,76.21181919
8/1/2017,106.7423133
9/1/2017,18.69828279
10/1/2017,50.56923963
11/1/2017,86.75256847
12/1/2017,78.15482703
1/1/2018,62.47052902
2/1/2018,45.68740589
3/1/2018,44.03312168
4/1/2018,100.5788293
5/1/2018,104.2501761
6/1/2018,93.45635303
7/1/2018,72.29850605
8/1/2018,90.35321137
9/1/2018,58.01739161
10/1/2018,63.98951501
11/1/2018,112.533176
12/1/2018,143.8678414
1/1/2019,107.9155005
2/1/2019,128.5417163
3/1/2019,72.8168549
4/1/2019,69.93432101
5/1/2019,47.72573076
6/1/2019,92.92121449
7/1/2019,67.97876973
8/1/2019,26.80483589
9/1/2019,176.6250546
10/1/2019,79.47729322
11/1/2019,64.54966895
12/1/2019,69.84743182
1/1/2020,139.0341241
2/1/2020,85.15730122
3/1/2020,149.6680441
4/1/2020,184.7942282
5/1/2020,120.6770758
6/1/2020,133.0554276
7/1/2020,64.31736989
8/1/2020,91.93322919
9/1/2020,50.4962604
10/1/2020,67.22701549
11/1/2020,92.40760605
12/1/2020,23.61605341
1/1/2021,43.53951011
2/1/2021,102.8875456
3/1/2021,79.3254432
4/1/2021,65.98532222
5/1/2021,63.46567209
6/1/2021,118.9420484
7/1/2021,142.8339589
8/1/2021,86.78306029
9/1/2021,127.8650679
10/1/2021,239.2417342
11/1/2021,181.6796719
12/1/2021,144.1328549
1/1/2022,123.6328123
2/1/2022,212.2896902
3/1/2022,275.981006
4/1/2022,267.3809009
5/1/2022,173.1054698
6/1/2022,156.7618598
7/1/2022,177.7480616
8/1/2022,188.0665442
9/1/2022,169.6355384
10/1/2022,210.4317855
11/1/2022,87.21209644
12/1/2022,164.0650608
1/1/2023,108.7971482
2/1/2023,155.2634802
3/1/2023,109.070876
4/1/2023,150.4208882
5/1/2023,64.43028719
6/1/2023,77.11199445
7/1/2023,27.48357118
8/1/2023,114.10623
9/1/2023,101.4350341
10/1/2023,146.9505442
11/1/2023,100.5131516
12/1/2023,100.0096652
1/1/2024,102.4679962
2/1/2024,72.96144586
3/1/2024,18.2952845
4/1/2024,77.08639388
5/1/2024,81.79694847
6/1/2024,28.52802703
7/1/2024,74.45028611
